,iters,returns
0,0,60.0
1,1000,396.0
2,2000,563.0
3,3000,790.0
4,4000,781.0
5,5000,921.0
6,6000,790.0
7,7000,718.0
8,8000,1201.0
9,9000,907.0
10,10000,808.0
11,11000,845.0
12,12000,764.0
13,13000,801.0
14,14000,1064.0
15,15000,1021.0
16,16000,1513.0
17,17000,1237.0
18,18000,1065.0
19,19000,911.0
20,20000,806.0
21,21000,830.0
22,22000,1239.0
23,23000,1177.0
24,24000,1044.0
25,25000,999.0
26,26000,929.0
27,27000,1059.0
28,28000,924.0
29,29000,1208.0
30,30000,1163.0
31,31000,1054.0
32,32000,1365.0
33,33000,1147.0
34,34000,1369.0
35,35000,987.0
36,36000,1282.0
37,37000,1319.0
38,38000,1151.0
39,39000,1823.0
40,40000,1474.0
41,41000,1227.0
42,42000,1269.0
43,43000,1231.0
44,44000,1473.0
45,45000,1083.0
46,46000,1098.0
47,47000,1241.0
48,48000,1215.0
49,49000,1229.0
50,50000,1208.0
51,51000,1137.0
52,52000,1331.0
53,53000,1109.0
54,54000,1162.0
55,55000,1339.0
56,56000,915.0
57,57000,1352.0
58,58000,1234.0
59,59000,1368.0
60,60000,1671.0
61,61000,1078.0
62,62000,1692.0
63,63000,1152.0
64,64000,1628.0
65,65000,1802.0
66,66000,1229.0
67,67000,1903.0
68,68000,1682.0
69,69000,1430.0
70,70000,1225.0
71,71000,1161.0
72,72000,1285.0
73,73000,1075.0
74,74000,1256.0
75,75000,1728.0
76,76000,1921.0
77,77000,1181.0
78,78000,1601.0
79,79000,1518.0
80,80000,1044.0
81,81000,1012.0
82,82000,1211.0
83,83000,1535.0
84,84000,1500.0
85,85000,1055.0
86,86000,1455.0
87,87000,1471.0
88,88000,1344.0
89,89000,1339.0
90,90000,1401.0
91,91000,1621.0
92,92000,1349.0
93,93000,1305.0
94,94000,1348.0
95,95000,1196.0
96,96000,1413.0
97,97000,1434.0
98,98000,1231.0
99,99000,1166.0
100,100000,1172.0
101,101000,1257.0
102,102000,1624.0
103,103000,1291.0
104,104000,1245.0
105,105000,1030.0
106,106000,1241.0
107,107000,1505.0
108,108000,1153.0
109,109000,1374.0
110,110000,1127.0
111,111000,942.0
112,112000,866.0
113,113000,1166.0
114,114000,1230.0
115,115000,884.0
116,116000,959.0
117,117000,1126.0
118,118000,1185.0
119,119000,1306.0
120,120000,1035.0
121,121000,1192.0
122,122000,1145.0
123,123000,1026.0
124,124000,1027.0
125,125000,868.0
126,126000,1049.0
127,127000,1270.0
128,128000,1129.0
129,129000,975.0
130,130000,894.0
131,131000,1068.0
132,132000,1102.0
133,133000,1108.0
134,134000,814.0
135,135000,1470.0
136,136000,1022.0
137,137000,1145.0
138,138000,1046.0
139,139000,923.0
140,140000,948.0
141,141000,1244.0
142,142000,1149.0
143,143000,1112.0
144,144000,1054.0
145,145000,1299.0
146,146000,1004.0
147,147000,1281.0
148,148000,1255.0
149,149000,1157.0
150,150000,986.0
151,151000,1425.0
152,152000,1017.0
153,153000,1013.0
154,154000,995.0
155,155000,1115.0
156,156000,1281.0
157,157000,1107.0
158,158000,1417.0
159,159000,1408.0
160,160000,1260.0
161,161000,1742.0
162,162000,1500.0
163,163000,1039.0
164,164000,943.0
165,165000,777.0
166,166000,1218.0
167,167000,1392.0
168,168000,1361.0
169,169000,1157.0
170,170000,1459.0
171,171000,1114.0
172,172000,1385.0
173,173000,1004.0
174,174000,1524.0
175,175000,1243.0
176,176000,1449.0
177,177000,1055.0
178,178000,1192.0
179,179000,992.0
180,180000,1295.0
181,181000,1202.0
182,182000,1524.0
183,183000,1086.0
184,184000,1372.0
185,185000,1331.0
186,186000,1412.0
187,187000,1370.0
188,188000,958.0
189,189000,1010.0
190,190000,1782.0
191,191000,1604.0
192,192000,1202.0
193,193000,1586.0
194,194000,1581.0
195,195000,1161.0
196,196000,1661.0
197,197000,944.0
198,198000,2143.0
199,199000,644.0
200,200000,2402.0
